username,comment_text,tagged_users_count,post_shortcode,comment_len
ff_hong,캄프 선스틱바르고 1월엔 마일리지 200K+LSD35K즈! 2월엔 인생 첫 풀마라톤(대구마라톤) 멋지게 완주할겁니다! 🏃‍♀️🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🏃‍♀️,0,DSlsKZGE9KS,122
19.11.130,🙌🔥👏👟 @woodrings921,0,DSlsKZGE9KS,18
yourim6350,🏃‍♂️ 🏃‍♀️ 🔥❤️ 🌞 ☀️ 💪  @seonghwan3962,1,manual_import,36
ekf74,🏃‍♀️🏃💪🙌👏😍❤️ @mtrees95,1,manual_import,21
jjjlovemato82,🏃‍♀️🏃🏻☀️💪🔥❤️🙌🏃‍♀️☀️💪🏃🏻🔥❤️🙌,0,DSlsKZGE9KS,26
onyoung95,@rarapapa_yong 🏃‍♀️,0,DSlsKZGE9KS,19
yjbk09,"러닝도 포기 못 해요! 달리면서도 덧바를 수 있는 선스틱이라니 러너 필수템😍❄️☃️🎄🎃🪢 @dongrimkim, @sunae0706, @clim__12, @susia_j",4,manual_import,94
misty01142,🏃🏻☀️🏃🏽‍♀️🏃🏻‍♂️🏃🏿‍♂️ @flyagnes,1,manual_import,29
seyoung843,🚲🚲🚲🚲🚲🚲🚲🚲🚲🚲🚲😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,0,DSlsKZGE9KS,26
bom.bom5,🏃🏽‍♀️🔥🏃🏽‍♀️,0,DSlsKZGE9KS,11
jaeguk_k,🏃🏻‍♀️🏃🏻‍♂️🔥🔥🔥🐅🐆🐎🐎🐎🐎🐎❤❤❤❤ @yxxnyxxhxxn,0,DSlsKZGE9KS,37
___harang,"겨울 러닝의 최대 고민이 차가운 바람에 건조해지는 피부랑 의외로 강한 겨울 햇빛인데, 달리는 중에도 덧바를 수 있는 선스틱이라니...! 캄프의 세심함에 감동하고 가요 🧡 런린이지만 달리기에 대한 진심만큼은 누구보다 뜨겁습니다! 🔥🏃‍♀️☀️💪 캄프와 함께 건강하게 달리는 모습 꼭 기록해보고 싶어요!",0,DSlsKZGE9KS,167
o.ya.climb,🙌😍🙌 러너!! 선스틱바르고 러닝할래요😍 @mumu.omu,1,manual_import,32
young0850,🏃‍♂️🏃‍♀️🏃❤️ @happy__sunyoung @yujaekwon,2,manual_import,39
proudjunsu,🏃‍♀️🏃‍♀️🏃‍♀️⚡️ @kawk67,1,manual_import,22
americano_indian,🏃🏻💨🏃🏻‍♀️💨🏃‍♂️💨😎☀️🌞 @janght86 @runnermoyaya,0,DSlsKZGE9KS,42
poesjin,🏀🎖🏅🏆🏆🎄🎄🎄 러닝할때 유용할것 같아요 @yunjung_perfectlife,0,DSlsKZGE9KS,43
jk_minkyung,썬스틱 바르고 즐겁게러닝해요❤️🙌😍@poesjin @yunjung_perfectlife 다같이 런런투개더,0,DSlsKZGE9KS,58
hiru0105,🏃‍♀️🏃🏻🏃🏿‍♂️💨💪🚅🚆✈️🚀🔥🔥🔥🔥🔥🔥 @js_chuni,1,manual_import,34
