username,avg_comments_12,avg_likes_12,comment_like_ratio,low_comment_post_rate,community_signal,running_hashtag_rate
superwithcub,0.0,0.75,0.0,1.0,-1.0,0.0
aqsg1212,0.0,0.0,0.0,1.0,-1.0,0.0
calmf_official,0.0,8.6,0.0,1.0,-1.0,0.0
ysy_811112,0.8,9.8,0.0816,1.0,-0.3714,0.0
do.dream_,6.0,33.4,0.1796,0.4,1.6357,0.0
hello_my_youth_,6.4,40.8,0.1569,0.4,1.6799,0.0
hiru0105,1.6,28.0,0.0571,0.8,0.1841,0.0
hou_ioi01,1.0,15.8,0.0633,1.0,-0.2752,0.0
dayxrun,23.2,167.6,0.1384,0.0,3.2556,1.0
ks01112,1.4,0.0,0.0,0.8,0.0755,0.0
king._.seo,1.4,0.0,0.0,0.8,0.0755,0.4
suj__1n,2.4,157.0,0.0153,0.8,0.4314,0.0
m0001_di,5.0,51.2,0.0977,0.8,1.0406,0.0
ekf74,0.0,5.2,0.0,1.0,-1.0,0.0
tjtjvhvh,0.0,0.0,0.0,1.0,-1.0,0.0
yjbk09,0.0,10.0,0.0,1.0,-1.0,0.0
hyejin27_0,1.2,6.0,0.2,0.8,0.0885,0.0
runtaesik,37.0,159.0,0.2327,0.0,3.7539,0.6
love82lv,0.2,4.0,0.05,1.0,-0.7927,0.0
k_up_all,57.8,187.6,0.3081,0.0,4.2282,1.0
droing909,4.8,93.25,0.0515,0.4,1.3836,1.0
majaegyeong8,0.0,13.4,0.0,1.0,-1.0,0.0
giveyou_moon,8.0,90.0,0.0889,0.2,2.0417,0.4
onyoung95,5.8,95.0,0.0611,0.4,1.5474,0.4
ddanghans,17.8,140.0,0.1271,0.0,2.9974,0.2
miventnote,0.2,13.2,0.0152,1.0,-0.8101,0.0
hhh_rrrim,1.8,15.2,0.1184,0.8,0.2888,0.0
kdsallin,11.2,0.0,0.0,0.2,2.3014,0.8
1800__g,0.2,11.2,0.0179,1.0,-0.8087,0.0
___harang,0.6,13.0,0.0462,1.0,-0.5069,0.0
owlti_25,0.0,0.2,0.0,1.0,-1.0,0.0
bitter_sw2t__,0.2,54.0,0.0037,1.0,-0.8158,0.0
o.ya.climb,0.0,4.6,0.0,1.0,-1.0,0.0
vatory1222,1.6,49.6,0.0323,0.8,0.1716,0.0
bokgorae,4.2,24.8,0.1694,0.2,1.5333,0.6
han_jjeong,64.2,204.8,0.3135,0.0,4.3342,1.0
o_2_e_2,6.4,0.0,0.0,0.4,1.6015,0.0
only_u282,19.4,24.8,0.7823,0.6,2.8067,0.0
soccer_0704,4.0,37.6,0.1064,0.6,1.0626,0.2
east_ark,0.0,1.0,0.0,1.0,-1.0,0.0
junho122021,4.4,62.0,0.071,0.4,1.3219,0.4
rainbow.rose.1004,0.2,1.4,0.1429,1.0,-0.7462,0.0
sh.ane5651,0.0,2.8,0.0,1.0,-1.0,0.0
sister_tone,15.2,59.4,0.2559,0.0,2.913,0.0
