rank,username,relationship_score,reliability_score,runnerfit_score,final_score,risk_flag,avg_comments_12,avg_likes_12,low_comment_post_rate,running_hashtag_rate,followers,posts_90d,engagement_rate
101,americano_indian,0,27,0,8.1,,0.2,8.6,1.0,0.0,411,5,0.05
102,minvelyss,0,27,0,8.1,,0.0,13.0,1.0,0.0,2098,5,0.0
103,19.11.130,0,27,0,8.1,,0.0,4.4,1.0,0.0,2028,5,0.0
104,aqsg1212,0,27,0,8.1,,0.0,0.0,1.0,0.0,198,5,0.0
105,calmf_official,0,27,0,8.1,,0.0,8.6,1.0,0.0,1739,5,0.0
106,yjbk09,0,27,0,8.1,,0.0,10.0,1.0,0.0,319,5,0.0
107,simpleda_,0,25,0,7.5,,0.0,5.2,1.0,0.0,186,3,0.0
108,bitter_sw2t__,0,25,0,7.5,,0.2,54.0,1.0,0.0,309,2,0.06
109,lee.hyunsil,0,24,0,7.2,,0.0,0.0,1.0,0.0,897,5,0.0
110,niemand0621,0,24,0,7.2,,0.2,3.8,1.0,0.0,75,5,0.27
111,kor_7791,0,24,0,7.2,,0.0,1.8,1.0,0.0,58,5,0.0
112,superwithcub,0,24,0,7.2,,0.0,0.75,1.0,0.0,149,5,0.0
113,rainbow.rose.1004,0,24,0,7.2,,0.2,1.4,1.0,0.0,179,5,0.11
114,ks01112,2,20,0,7.0,,1.4,0.0,0.8,0.0,1193,5,0.12
115,oslo.wj,2,19,0,6.7,,1.4,12.6,1.0,0.0,1011,3,0.14
116,love82lv,0,22,0,6.6,,0.2,4.0,1.0,0.0,463,2,0.04
117,katarinao0,0,20,0,6.0,,0.0,1.8,1.0,0.0,214,1,0.0
118,heoseonmi9232,0,20,0,6.0,,0.6,6.2,1.0,0.0,319,5,0.19
119,qwoow1_,0,19,0,5.7,,0.0,316.0,1.0,0.0,855,2,0.0
120,starry_night3081,0,15,0,4.5,,0.4,9.6,1.0,0.0,783,2,0.05
121,coflvkdl,2,7,0,3.1,,1.0,13.0,1.0,0.0,721,1,0.14
